UDP server up and streaming
Client - 127.0.0.1:8889, Index - 0, Data - 2
Client - 127.0.0.1:8889, Index - 1, Data - 4
Client - 127.0.0.1:8890, Index - 1, Data - 4
Client - 127.0.0.1:8889, Index - 2, Data - 6
Client - 127.0.0.1:8890, Index - 2, Data - 6
Client - 127.0.0.1:8889, Index - 3, Data - 8
Client - 127.0.0.1:8890, Index - 3, Data - 8
Client - 127.0.0.1:8889, Index - 4, Data - 10
Client - 127.0.0.1:8890, Index - 4, Data - 10
Client - 127.0.0.1:8891, Index - 4, Data - 10
Client - 127.0.0.1:8889, Index - 5, Data - 12
Client - 127.0.0.1:8890, Index - 5, Data - 12
Client - 127.0.0.1:8891, Index - 5, Data - 12
Client - 127.0.0.1:8889, Index - 6, Data - 14
Client - 127.0.0.1:8890, Index - 6, Data - 14
Client - 127.0.0.1:8891, Index - 6, Data - 14
Client - 127.0.0.1:8889, Index - 7, Data - 16
Client - 127.0.0.1:8890, Index - 7, Data - 16
Client - 127.0.0.1:8891, Index - 7, Data - 16
Client - 127.0.0.1:8889, Index - 8, Data - 18
Client - 127.0.0.1:8890, Index - 8, Data - 18
Client - 127.0.0.1:8891, Index - 8, Data - 18
Client - 127.0.0.1:8889, Index - 9, Data - 20
Client - 127.0.0.1:8890, Index - 9, Data - 20
Client - 127.0.0.1:8891, Index - 9, Data - 20
Client - 127.0.0.1:8889, Index - 10, Data - 22
Client - 127.0.0.1:8890, Index - 10, Data - 22
Client - 127.0.0.1:8891, Index - 10, Data - 22
Client - 127.0.0.1:8889, Index - 11, Data - 24
Client - 127.0.0.1:8890, Index - 11, Data - 24
Client - 127.0.0.1:8891, Index - 11, Data - 24
Client - 127.0.0.1:8889, Index - 12, Data - 26
Client - 127.0.0.1:8890, Index - 12, Data - 26
Client - 127.0.0.1:8891, Index - 12, Data - 26
Client - 127.0.0.1:8889, Index - 13, Data - 28
Client - 127.0.0.1:8890, Index - 13, Data - 28
Client - 127.0.0.1:8891, Index - 13, Data - 28
Client - 127.0.0.1:8889, Index - 14, Data - 30
Client - 127.0.0.1:8890, Index - 14, Data - 30
Client - 127.0.0.1:8891, Index - 14, Data - 30
Server stopped.
